usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10010,Manhattan,Gramercy Park and Murray Hill,11222,Brooklyn,Greenpoint,2020-11-21,2020-11-21,46.4,4.9,0.0,40.0,1
Customer,11101,Queens,Northwest Queens,11101,Queens,Northwest Queens,2020-11-02,2020-11-02,59.4,2.6,0.0,50.0,3
Subscriber,10002,Manhattan,Lower East Side,11101,Queens,Northwest Queens,2020-10-20,2020-10-20,56.2,5.7,0.0,30.0,1
Subscriber,10012,Manhattan,Greenwich Village and Soho,10021,Manhattan,Upper East Side,2020-11-22,2020-11-22,51.2,5.1,0.03,30.0,1
Subscriber,10010,Manhattan,Gramercy Park and Murray Hill,10028,Manhattan,Upper East Side,2020-12-30,2020-12-30,41.3,3.0,0.15,30.0,2
Subscriber,10013,Manhattan,Greenwich Village and Soho,10028,Manhattan,Upper East Side,2020-10-06,2020-10-06,61.2,1.5,0.0,50.0,1
Subscriber,11201,Brooklyn,Northwest Brooklyn,11206,Brooklyn,Bushwick and Williamsburg,2020-10-10,2020-10-10,58.9,2.6,0.89,20.0,6
Subscriber,10001,Manhattan,Chelsea and Clinton,10075,Manhattan,Upper East Side,2020-10-06,2020-10-06,61.2,1.5,0.0,30.0,4
Subscriber,10022,Manhattan,Gramercy Park and Murray Hill,10028,Manhattan,Upper East Side,2020-10-25,2020-10-25,59.1,4.0,0.02,10.0,5
Customer,10167,Manhattan,Gramercy Park and Murray Hill,10021,Manhattan,Upper East Side,2020-10-30,2020-10-30,55.8,5.4,0.04,20.0,1
Subscriber,10014,Manhattan,Greenwich Village and Soho,10021,Manhattan,Upper East Side,2020-09-19,2020-09-19,74.7,1.8,0.0,30.0,1
Subscriber,10014,Manhattan,Greenwich Village and Soho,10020,Manhattan,Chelsea and Clinton,2019-03-15,2019-03-15,49.9,6.6,0.0,20.0,1
Subscriber,10022,Manhattan,Gramercy Park and Murray Hill,11101,Queens,Northwest Queens,2020-08-23,2020-08-23,76.0,3.6,0.0,10.0,2
Subscriber,10075,Manhattan,Upper East Side,10075,Manhattan,Upper East Side,2020-12-01,2020-12-01,46.5,5.9,0.0,20.0,1
Subscriber,10110,Manhattan,Chelsea and Clinton,10028,Manhattan,Upper East Side,2020-10-08,2020-10-08,63.8,2.9,0.0,30.0,1
Subscriber,10003,Manhattan,Lower East Side,10028,Manhattan,Upper East Side,2020-11-08,2020-11-08,51.9,4.0,0.0,40.0,1
Subscriber,10011,Manhattan,Chelsea and Clinton,10028,Manhattan,Upper East Side,2020-11-11,2020-11-11,52.7,6.0,0.69,30.0,1
Subscriber,10021,Manhattan,Upper East Side,10128,Manhattan,Upper East Side,2020-12-14,2020-12-14,56.8,4.6,0.0,10.0,2
Customer,10022,Manhattan,Gramercy Park and Murray Hill,11101,Queens,Northwest Queens,2020-10-13,2020-10-13,65.8,2.5,0.01,20.0,2
